X1,Y1,X2,Y2,,,,
-2.50E-03,-4.80E-01,-2.50E-03,-1.52E-01,,,,
-2.50E-03,-4.80E-01,-2.50E-03,-1.76E-01,,,,
-2.49E-03,-4.80E-01,-2.49E-03,-1.76E-01,,,,
-2.49E-03,-5.60E-01,-2.49E-03,-2.00E-01,,,,
-2.49E-03,-4.80E-01,-2.49E-03,-2.00E-01,,,,
-2.49E-03,-5.60E-01,-2.49E-03,-2.00E-01,,,,
-2.49E-03,-5.60E-01,-2.49E-03,-2.00E-01,,,,
-2.48E-03,-6.40E-01,-2.48E-03,-2.16E-01,,,,
-2.48E-03,-6.40E-01,-2.48E-03,-2.24E-01,,,,
-2.48E-03,-7.20E-01,-2.48E-03,-2.08E-01,,,,
-2.48E-03,-6.40E-01,-2.48E-03,-2.24E-01,,,,
-2.48E-03,-7.20E-01,-2.48E-03,-1.84E-01,,,,
-2.47E-03,-7.20E-01,-2.47E-03,-1.92E-01,,,,
-2.47E-03,-7.20E-01,-2.47E-03,-2.08E-01,,,,
-2.47E-03,-8.00E-01,-2.47E-03,-1.92E-01,,,,
-2.47E-03,-8.00E-01,-2.47E-03,-1.92E-01,,,,
-2.47E-03,-8.00E-01,-2.47E-03,-2.16E-01,,,,
-2.46E-03,-8.80E-01,-2.46E-03,-2.16E-01,,,,
-2.46E-03,-8.80E-01,-2.46E-03,-2.16E-01,,,,
-2.46E-03,-9.60E-01,-2.46E-03,-2.40E-01,,,,
-2.46E-03,-9.60E-01,-2.46E-03,-2.48E-01,,,,
-2.46E-03,-1.04,-2.46E-03,-2.24E-01,,,,
-2.45E-03,-9.60E-01,-2.45E-03,-2.32E-01,,,,
-2.45E-03,-1.04,-2.45E-03,-2.48E-01,,,,
-2.45E-03,-1.04,-2.45E-03,-2.32E-01,,,,
-2.45E-03,-1.12,-2.45E-03,-2.32E-01,,,,
-2.45E-03,-1.12,-2.45E-03,-2.40E-01,,,,
-2.44E-03,-1.1999999,-2.44E-03,-2.24E-01,,,,
-2.44E-03,-1.1999999,-2.44E-03,-2.16E-01,,,,
-2.44E-03,-1.1999999,-2.44E-03,-2.48E-01,,,,
-2.44E-03,-1.28,-2.44E-03,-2.48E-01,,,,
-2.44E-03,-1.28,-2.44E-03,-2.64E-01,,,,
-2.43E-03,-1.28,-2.43E-03,-2.56E-01,,,,
-2.43E-03,-1.28,-2.43E-03,-2.56E-01,,,,
-2.43E-03,-1.36,-2.43E-03,-2.64E-01,,,,
-2.43E-03,-1.4399999,-2.43E-03,-2.56E-01,,,,
-2.43E-03,-1.4399999,-2.43E-03,-2.56E-01,,,,
-2.42E-03,-1.4399999,-2.42E-03,-2.56E-01,,,,
-2.42E-03,-1.4399999,-2.42E-03,-2.64E-01,,,,
-2.42E-03,-1.4399999,-2.42E-03,-2.48E-01,,,,
-2.42E-03,-1.4399999,-2.42E-03,-2.56E-01,,,,
-2.42E-03,-1.52,-2.42E-03,-2.64E-01,,,,
-2.41E-03,-1.52,-2.41E-03,-2.64E-01,,,,
-2.41E-03,-1.52,-2.41E-03,-2.72E-01,,,,
-2.41E-03,-1.5999999,-2.41E-03,-2.56E-01,,,,
-2.41E-03,-1.5999999,-2.41E-03,-2.48E-01,,,,
-2.41E-03,-1.6799999,-2.41E-03,-2.64E-01,,,,
-2.40E-03,-1.6799999,-2.40E-03,-2.64E-01,,,,
-2.40E-03,-1.6799999,-2.40E-03,-2.64E-01,,,,
-2.40E-03,-1.76,-2.40E-03,-3.12E-01,,,,
-2.40E-03,-1.76,-2.40E-03,-3.04E-01,,,,
-2.40E-03,-1.76,-2.40E-03,-2.96E-01,,,,
-2.39E-03,-1.76,-2.39E-03,-3.04E-01,,,,
-2.39E-03,-1.8399999,-2.39E-03,-2.96E-01,,,,
-2.39E-03,-1.8399999,-2.39E-03,-2.64E-01,,,,
-2.39E-03,-1.8399999,-2.39E-03,-2.80E-01,,,,
-2.39E-03,-1.8399999,-2.39E-03,-2.96E-01,,,,
-2.38E-03,-1.8399999,-2.38E-03,-2.72E-01,,,,
-2.38E-03,-1.92,-2.38E-03,-2.72E-01,,,,
-2.38E-03,-1.92,-2.38E-03,-2.88E-01,,,,
-2.38E-03,-1.92,-2.38E-03,-2.64E-01,,,,
-2.38E-03,-1.92,-2.38E-03,-2.56E-01,,,,
-2.37E-03,-2,-2.37E-03,-3.04E-01,,,,
-2.37E-03,-2,-2.37E-03,-2.88E-01,,,,
-2.37E-03,-2,-2.37E-03,-3.04E-01,,,,
-2.37E-03,-2,-2.37E-03,-3.04E-01,,,,
-2.37E-03,-2,-2.37E-03,-3.12E-01,,,,
-2.36E-03,-2.0799999,-2.36E-03,-3.04E-01,,,,
-2.36E-03,-2.0799999,-2.36E-03,-3.04E-01,,,,
-2.36E-03,-2.0799999,-2.36E-03,-2.88E-01,,,,
-2.36E-03,-2.0799999,-2.36E-03,-2.96E-01,,,,
-2.36E-03,-2.1599998,-2.36E-03,-3.04E-01,,,,
-2.35E-03,-2.0799999,-2.35E-03,-2.96E-01,,,,
-2.35E-03,-2.1599998,-2.35E-03,-2.88E-01,,,,
-2.35E-03,-2.1599998,-2.35E-03,-2.80E-01,,,,
-2.35E-03,-2.1599998,-2.35E-03,-2.96E-01,,,,
-2.35E-03,-2.1599998,-2.35E-03,-2.88E-01,,,,
-2.34E-03,-2.1599998,-2.34E-03,-3.12E-01,,,,
-2.34E-03,-2.1599998,-2.34E-03,-3.04E-01,,,,
-2.34E-03,-2.24,-2.34E-03,-2.96E-01,,,,
-2.34E-03,-2.1599998,-2.34E-03,-3.04E-01,,,,
-2.34E-03,-2.24,-2.34E-03,-3.20E-01,,,,
-2.33E-03,-2.24,-2.33E-03,-3.04E-01,,,,
-2.33E-03,-2.24,-2.33E-03,-3.12E-01,,,,
-2.33E-03,-2.3199999,-2.33E-03,-2.96E-01,,,,
-2.33E-03,-2.3199999,-2.33E-03,-2.96E-01,,,,
-2.33E-03,-2.3199999,-2.33E-03,-2.96E-01,,,,
-2.32E-03,-2.3199999,-2.32E-03,-2.88E-01,,,,
-2.32E-03,-2.24,-2.32E-03,-2.96E-01,,,,
-2.32E-03,-2.3199999,-2.32E-03,-2.96E-01,,,,
-2.32E-03,-2.3999999,-2.32E-03,-2.96E-01,,,,
-2.32E-03,-2.3199999,-2.32E-03,-2.96E-01,,,,
-2.31E-03,-2.3199999,-2.31E-03,-2.72E-01,,,,
-2.31E-03,-2.3999999,-2.31E-03,-2.72E-01,,,,
-2.31E-03,-2.3199999,-2.31E-03,-2.96E-01,,,,
-2.31E-03,-2.3999999,-2.31E-03,-2.64E-01,,,,
-2.31E-03,-2.3999999,-2.31E-03,-2.64E-01,,,,
